momento,usuario,evento,conteudo_id,tempo_segundos
1,1,visualizacao,1,180
2,1,visualizacao,2,240
3,1,visualizacao,5,210
4,1,visualizacao,3,160
5,1,recomendacao,4,0
6,1,clique_recomendacao,4,130
7,1,visualizacao,7,25
8,1,visualizacao,4,200
9,1,recomendacao,6,0
10,1,ignorou_recomendacao,6,0
1,2,visualizacao,6,220
2,2,visualizacao,7,260
3,2,visualizacao,8,190
4,2,visualizacao,10,230
5,2,recomendacao,9,0
6,2,clique_recomendacao,9,170
7,2,visualizacao,11,20
8,2,visualizacao,9,210
9,2,recomendacao,10,0
10,2,clique_recomendacao,10,150
1,3,visualizacao,11,200
2,3,visualizacao,12,260
3,3,visualizacao,13,230
4,3,visualizacao,14,180
5,3,recomendacao,15,0
6,3,ignorou_recomendacao,15,0
7,3,visualizacao,12,300
8,3,visualizacao,15,250
9,3,recomendacao,13,0
10,3,clique_recomendacao,13,220
1,4,visualizacao,16,210
2,4,visualizacao,17,240
3,4,visualizacao,19,280
4,4,visualizacao,20,190
5,4,recomendacao,18,0
6,4,clique_recomendacao,18,200
7,4,visualizacao,5,35
8,4,visualizacao,18,230
9,4,recomendacao,17,0
10,4,ignorou_recomendacao,17,0
1,5,visualizacao,21,240
2,5,visualizacao,22,260
3,5,visualizacao,24,220
4,5,visualizacao,25,280
5,5,recomendacao,23,0
6,5,clique_recomendacao,23,190
7,5,visualizacao,1,230
8,5,visualizacao,2,250
9,5,recomendacao,3,0
10,5,clique_recomendacao,3,210
