id,titulo,categoria
1,Introdução à Inteligência Artificial,Tecnologia
2,Como funcionam as redes neurais,Tecnologia
3,Computação em nuvem: conceitos fundamentais,Tecnologia
4,Segurança digital para usuários,Tecnologia
5,Novas tendências em desenvolvimento web,Tecnologia
6,Copa do Mundo: histórias e curiosidades,Esportes
7,Futebol brasileiro em destaque,Esportes
8,Os maiores atletas da atualidade,Esportes
9,Principais competições esportivas de 2026,Esportes
10,Como melhorar o desempenho nos esportes,Esportes
11,Os filmes mais aguardados do ano,Entretenimento
12,O crescimento das plataformas de streaming,Entretenimento
13,Séries que marcaram a televisão,Entretenimento
14,Música digital e novas formas de consumo,Entretenimento
15,Bastidores da produção de grandes filmes,Entretenimento
16,Economia brasileira em 2026,Economia
17,Inflação: conceitos e impactos no cotidiano,Economia
18,Mercado de trabalho e novas profissões,Economia
19,Como organizar as finanças pessoais,Economia
20,Tecnologia e transformação da economia,Economia
21,Novas tecnologias aplicadas à educação,Educação
22,Como estudar melhor utilizando tecnologia,Educação
23,Educação a distância: desafios e oportunidades,Educação
24,Plataformas digitais de aprendizagem,Educação
25,O futuro da educação,Educação
